zip,average precip mm/hr,average temp (C)
00601,0.2679420081,26.07253081
00602,0.2515916675,27.22268867
00603,0.2515916675,27.22268867
00606,0.2731703018,26.28321457
00610,0.2515916675,27.22268867
00611,0.262227113,26.82000542
00612,0.2553813914,26.50555992
00616,0.2553813914,26.50555992
00617,0.2553813914,26.50555992
00622,0.2421483375,27.51051342
00623,0.2673235501,27.26092529
00624,0.2596845289,25.73978043
00627,0.262227113,26.82000542
00631,0.2731703018,26.28321457
00636,0.2673235501,27.26092529
00637,0.2731703018,26.28321457
00638,0.2552601935,26.50687397
00641,0.2553813914,26.50555992
00646,0.2305000136,26.77532768
00647,0.2272814612,26.64422798
00650,0.2553813914,26.50555992
00652,0.2553813914,26.50555992
00653,0.2388235232,26.5534251
00656,0.2731703018,26.28321457
00659,0.262227113,26.82000542
00660,0.2673235501,27.26092529
00662,0.2515916675,27.22268867
00664,0.2596845289,25.73978043
00667,0.2665533085,27.2685615
00669,0.262227113,26.82000542
00670,0.272512705,26.348514
00674,0.2322436107,26.75642333
00676,0.2515916675,27.22268867
00677,0.2515916675,27.22268867
00678,0.262227113,26.82000542
00680,0.2358852106,27.68632317
00682,0.2673235501,27.26092529
00683,0.2673235501,27.26092529
00685,0.262227113,26.82000542
00687,0.2305000136,26.77532768
00688,0.2553813914,26.50555992
00690,0.2479183822,27.26366727
00692,0.2305000136,26.77532768
00693,0.2305000136,26.77532768
00694,0.2305000136,26.77532768
00698,0.2731703018,26.28321457
00703,0.2248332275,26.35036334
00704,0.2254582748,25.81314659
00705,0.2303950017,25.41783142
00707,0.2440045441,26.52823257
00714,0.2247345123,25.81751712
00715,0.2254713354,26.04056918
00716,0.2307539366,25.99412666
00717,0.2386716527,25.92451726
00718,0.2463130615,26.56337539
00719,0.2290598704,26.92372404
00720,0.2303950017,25.41783142
00723,0.2250120889,25.86748193
00725,0.2237472708,25.8234787
00727,0.2237472708,25.8234787
00728,0.2485811692,25.83739674
00729,0.2366712987,27.1351738
00730,0.2596845289,25.73978043
00731,0.2596845289,25.73978043
00735,0.2677863362,27.19524111
00736,0.2237472708,25.8234787
00738,0.2640895034,27.33206177
00739,0.2237472708,25.8234787
00740,0.2640895034,27.33206177
00741,0.2521040298,26.65153195
00745,0.2366712987,27.1351738
00751,0.2287609725,25.49829737
00754,0.2440045441,26.52823257
00757,0.2181396299,25.79998693
00765,0.2684611897,27.26599121
00766,0.2303950017,25.41783142
00767,0.2440045441,26.52823257
00769,0.2303950017,25.41783142
00771,0.2440045441,26.52823257
00772,0.2366712987,27.1351738
00773,0.2640895034,27.33206177
00775,0.277109083,27.2267952
00777,0.2440045441,26.52823257
00778,0.2368003794,27.12449034
00780,0.2596845289,25.73978043
00782,0.2237472708,25.8234787
00783,0.2305000136,26.77532768
00784,0.2241963786,25.82076671
00786,0.2237472708,25.8234787
00791,0.2440045441,26.52823257
00794,0.2303950017,25.41783142
00795,0.2387314762,25.50946553
00802,0.1972430883,27.32165337
00820,0.1906777098,27.46542253
00830,0.1795070093,27.28829038
00840,0.1980901487,27.49503899
00850,0.1980901487,27.49503899
00851,0.2010691373,27.47320793
00901,0.2265483692,27.1825161
00906,0.2265483692,27.1825161
00907,0.2265483692,27.1825161
