zip,lat,lng,average precip mm/hr,average temp (K),average temp (C),average temp (F)
00601,18.18027,-66.7527,0.09449405902,297.9130087,24.91300869,76.84341564
00602,18.36075,-67.1754,0.09562015049,298.7204244,25.7204244,78.29676392
00603,18.45744,-67.1223,0.09562015049,298.7204244,25.7204244,78.29676392
00606,18.16585,-66.9372,0.0941443796,298.0964111,25.09641113,77.17354004
00610,18.2911,-67.1224,0.09562015049,298.7204244,25.7204244,78.29676392
00611,18.27698,-66.8069,0.1060102201,298.4668437,25.46684367,77.8403186
00612,18.41283,-66.7051,0.1085166135,298.245341,25.24534098,77.44161377
00616,18.41878,-66.6679,0.1085166135,298.245341,25.24534098,77.44161377
00617,18.44598,-66.5601,0.1085166135,298.245341,25.24534098,77.44161377
00622,17.98892,-67.1566,0.09083723569,299.031622,26.03162204,78.85691968
00623,18.08429,-67.1534,0.0846687464,298.8304281,25.83042806,78.49477051
00624,18.05905,-66.7193,0.09504633682,297.6233459,24.62334595,76.32202271
00627,18.41905,-66.8604,0.1060102201,298.4668437,25.46684367,77.8403186
00631,18.1852,-66.8317,0.0941443796,298.0964111,25.09641113,77.17354004
00636,18.16354,-67.0801,0.0846687464,298.8304281,25.83042806,78.49477051
00637,18.081,-66.9466,0.0941443796,298.0964111,25.09641113,77.17354004
00638,18.28462,-66.5137,0.1084586318,298.2466872,25.24668723,77.44403702
00641,18.26742,-66.7021,0.1085166135,298.245341,25.24534098,77.44161377
00646,18.43251,-66.2843,0.09661322758,298.5217204,25.52172038,77.93909668
00647,17.96667,-66.9427,0.06120618843,298.3448242,25.34482422,77.62068359
00650,18.34487,-66.5835,0.1085166135,298.245341,25.24534098,77.44161377
00652,18.45614,-66.6019,0.1085166135,298.245341,25.24534098,77.44161377
00653,17.99413,-66.9027,0.06949087461,298.2823428,25.28234281,77.50821706
00656,18.04186,-66.7912,0.0941443796,298.0964111,25.09641113,77.17354004
00659,18.41036,-66.7969,0.1060102201,298.4668437,25.46684367,77.8403186
00660,18.13412,-67.114,0.0846687464,298.8304281,25.83042806,78.49477051
00662,18.46622,-67.0151,0.09562015049,298.7204244,25.7204244,78.29676392
00664,18.21064,-66.5907,0.09504633682,297.6233459,24.62334595,76.32202271
00667,18.01246,-67.0417,0.0848574728,298.8365836,25.83658364,78.50585055
00669,18.27019,-66.8673,0.1060102201,298.4668437,25.46684367,77.8403186
00670,18.23782,-66.9885,0.09410105719,298.14431,25.14430998,77.25975796
00674,18.42229,-66.4891,0.09744737385,298.5023527,25.50235271,77.90423487
00676,18.37897,-67.081,0.09562015049,298.7204244,25.7204244,78.29676392
00677,18.33535,-67.2316,0.09562015049,298.7204244,25.7204244,78.29676392
00678,18.42949,-66.9302,0.1060102201,298.4668437,25.46684367,77.8403186
00680,18.16307,-67.3612,0.08973365954,299.1054504,26.10545044,78.98981079
00682,18.22415,-67.1531,0.0846687464,298.8304281,25.83042806,78.49477051
