zip,average precip mm/hr,average temp (C)
49651,0.1153929714,6.20372111
49653,0.09830881668,4.033184814
49654,0.09336723115,2.187270952
49655,0.1205001039,6.376912435
49656,0.1150590807,6.830434163
49657,0.1211852574,6.425026449
49659,0.1027204095,4.928259277
49660,0.1033066805,6.048362223
49663,0.1157024097,6.291711426
49664,0.09485914384,3.855356852
49665,0.1211852574,6.425026449
49667,0.1468672549,6.108534749
49668,0.111666579,6.561562093
49670,0.09980624343,2.342690023
49674,0.09980624343,2.342690023
49675,0.09492046398,3.972078451
49676,0.1017062454,3.822365316
49677,0.12629595,7.282682292
49679,0.1247490101,6.897233073
49680,0.1093704444,5.747107955
49682,0.09830881668,4.033184814
49683,0.1002366825,5.197939046
49684,0.09830881668,4.033184814
49685,0.1039748037,6.04434611
49686,0.09830881668,4.033184814
49688,0.1205001039,6.376912435
49689,0.112371915,6.750276693
49690,0.1017062454,3.822365316
49696,0.1084778067,5.496539307
49701,0.09950730717,2.896698319
49705,0.09724621288,4.945507812
49706,0.09814946391,3.108284505
49707,0.1052401502,3.430214923
49709,0.1026397515,5.506858317
49710,0.1009076642,2.834899902
49712,0.1011107961,3.20845812
49713,0.1029292129,3.982828776
49715,0.1016500726,1.730344645
49716,0.1008054802,3.27295312
49717,0.09705259353,4.638008626
49718,0.1017196146,2.730476888
49719,0.09790833505,3.389484186
49720,0.09585748851,2.12165941
49721,0.09564505853,3.414583333
49722,0.09814946391,3.108284505
49724,0.0992283841,2.596289063
49725,0.09651413875,3.004792613
49726,0.1023297529,2.095306485
49727,0.1009737654,3.15010376
49728,0.1030384066,3.004629571
49729,0.1022381646,2.388779704
49730,0.1029292129,3.982828776
49733,0.1116988026,5.532004801
49735,0.1086435273,5.399545829
49736,0.09884352386,3.510473633
49738,0.1206926465,5.703753662
49740,0.09820311357,2.298107667
49743,0.1042246754,3.709606934
49744,0.1078498385,4.487782136
49745,0.09815067599,3.528749593
49746,0.1075245775,5.352309163
49747,0.1085720476,5.592344157
49748,0.1059342429,3.45672404
49749,0.09705259353,4.638008626
49751,0.1067860952,5.456044433
49752,0.0992283841,2.596289063
49753,0.1075245775,5.352309163
49755,0.1017196146,2.730476888
49756,0.109725237,5.474216715
49757,0.09832214862,2.439939372
49759,0.1060762546,4.086191813
49760,0.100096568,3.707629395
49762,0.1005755456,3.811076055
49764,0.09814946391,3.108284505
49765,0.1007721689,4.602371223
49766,0.1047557358,4.479878743
49768,0.1018192959,1.251519775
49769,0.1017196146,2.730476888
49770,0.09814946391,3.108284505
49774,0.0985364822,3.655950928
49775,0.09520272588,2.24173584
49776,0.1059627058,3.263671026
49777,0.1030107038,1.95905516
49779,0.1042246754,3.709606934
49780,0.09815067599,3.528749593
49781,0.09979348332,2.160453288
49782,0.1009434919,1.773248291
49783,0.0992283841,2.596289063
49784,0.09910498612,2.785275586
49788,0.09922708195,2.598283334
49791,0.09705259353,4.638008626
49793,0.1006014022,3.794329834
49795,0.1021027312,5.115974935
49796,0.09814946391,3.108284505
49799,0.09705259353,4.638008626
49801,0.1093345729,4.764282227
49802,0.1093345729,4.764282227
49805,0.0847016938,1.305609131
49806,0.0989477098,1.782712809
49807,0.09953301599,4.989119466
49808,0.09816768095,2.082397461
49812,0.1023738543,5.167834579
49814,0.1086195139,3.55447998
49815,0.1177862093,4.066823324
49816,0.0989477098,1.782712809
49817,0.09672930187,4.053894719
49818,0.09910170461,4.565901693
49820,0.1026636134,3.792195638
49821,0.1041725554,5.280989583
49822,0.1065242591,2.610498047
49825,0.0989477098,1.782712809
49826,0.1065242591,2.610498047
49827,0.1026636134,3.792195638
49829,0.09833114296,4.458679199
49831,0.1132096127,4.048303223
49833,0.1099427231,3.112390137
49834,0.1032589644,4.696189372
49835,0.09758977652,3.287855982
49836,0.1040992546,3.851139323
49837,0.09833114296,4.458679199
49838,0.1034069427,3.822714803
49839,0.09787350272,1.478979492
49840,0.1032603865,4.073571777
49841,0.1116792819,3.241652087
49847,0.1041725554,5.280989583
49848,0.1006018092,5.698248291
