zip,lat,lng,average summer precipitation (mm/hr),average summer temp (K),temp (C),temp (F)
00601,18.18027,-66.7527,0.1497665867,299.9279908,26.92799077,80.47038338
00602,18.36075,-67.1754,0.2020579437,300.4280518,27.42805176,81.37049316
00603,18.45744,-67.1223,0.2020579437,300.4280518,27.42805176,81.37049316
00606,18.16585,-66.9372,0.1599342242,300.0761658,27.07616577,80.73709839
00610,18.2911,-67.1224,0.2020579437,300.4280518,27.42805176,81.37049316
00611,18.27698,-66.8069,0.1911606411,300.2146016,27.21460164,80.98628296
00612,18.41283,-66.7051,0.1542145496,300.1397034,27.13970337,80.85146606
00616,18.41878,-66.6679,0.1542145496,300.1397034,27.13970337,80.85146606
00617,18.44598,-66.5601,0.1542145496,300.1397034,27.13970337,80.85146606
00622,17.98892,-67.1566,0.1407917595,300.7683317,27.76833166,81.98299699
00623,18.08429,-67.1534,0.1675652131,300.6129944,27.61299438,81.70338989
00624,18.05905,-66.7193,0.1337079907,299.6939657,26.69396566,80.04913818
00627,18.41905,-66.8604,0.1911606411,300.2146016,27.21460164,80.98628296
00631,18.1852,-66.8317,0.1911606411,300.0761658,27.07616577,80.73709839
00636,18.16354,-67.0801,0.1675652131,300.6129944,27.61299438,81.70338989
00637,18.081,-66.9466,0.1599342242,300.0761658,27.07616577,80.73709839
00638,18.28462,-66.5137,0.1541077649,300.1411635,27.14116348,80.85409426
00641,18.26742,-66.7021,0.1542145496,300.1397034,27.13970337,80.85146606
00646,18.43251,-66.2843,0.1322921442,300.4394572,27.43945719,81.39102295
00647,17.96667,-66.9427,0.1173272407,300.2709961,27.27099609,81.08779297
00650,18.34487,-66.5835,0.1542145496,300.1397034,27.13970337,80.85146606
00652,18.45614,-66.6019,0.1542145496,300.1397034,27.13970337,80.85146606
00653,17.99413,-66.9027,0.1280438428,300.2219919,27.22199194,80.9995855
00656,18.04186,-66.7912,0.1599342242,300.0761658,27.07616577,80.73709839
00659,18.41036,-66.7969,0.1911606411,300.2146016,27.21460164,80.98628296
00660,18.13412,-67.114,0.1675652131,300.6129944,27.61299438,81.70338989
00662,18.46622,-67.0151,0.2020579437,300.4280518,27.42805176,81.37049316
00664,18.21064,-66.5907,0.1337079907,299.6939657,26.69396566,80.04913818
00667,18.01246,-67.0417,0.166746073,300.617747,27.61774697,81.71194454
00669,18.27019,-66.8673,0.1911606411,300.2146016,27.21460164,80.98628296
00670,18.23782,-66.9885,0.1613777346,300.106621,27.10662099,80.79191777
00674,18.42229,-66.4891,0.1338283872,300.4184515,27.41845153,81.35321275
00676,18.37897,-67.081,0.2020579437,300.4280518,27.42805176,81.37049316
00677,18.33535,-67.2316,0.2020579437,300.4280518,27.42805176,81.37049316
00678,18.42949,-66.9302,0.1911606411,300.2146016,27.21460164,80.98628296
00680,18.16307,-67.3612,0.1518274496,300.7807515,27.78075155,82.00535278
00682,18.22415,-67.1531,0.1675652131,300.6129944,27.61299438,81.70338989
00683,18.10926,-67.038,0.1675652131,300.6129944,27.61299438,81.70338989
00685,18.33656,-66.9752,0.1911606411,300.2146016,27.21460164,80.98628296
00687,18.31707,-66.4203,0.1322921442,300.4394572,27.43945719,81.39102295
00688,18.3807,-66.625,0.1542145496,300.1397034,27.13970337,80.85146606
00690,18.49363,-67.0973,0.1938158267,300.4447017,27.44470174,81.40046313
00692,18.40905,-66.3377,0.1322921442,300.4394572,27.43945719,81.39102295
00693,18.42633,-66.3981,0.1322921442,300.4394572,27.43945719,81.39102295
00694,18.48327,-66.3927,0.1322921442,300.4394572,27.43945719,81.39102295
00698,18.07274,-66.8552,0.1599342242,300.0761658,27.07616577,80.73709839
00703,18.24739,-66.1314,0.1236286707,300.1004981,27.10049808,80.78089654
00704,17.97442,-66.2289,0.113098921,299.3222514,26.32225138,79.38005249
00705,18.1294,-66.2665,0.1174963325,299.2896423,26.28964233,79.3213562
00707,18.01752,-65.9213,0.1449843963,299.9943807,26.9943807,80.58988525
00714,17.9981,-66.0564,0.1155997243,299.4623028,26.46230279,79.63214502
00715,17.99738,-66.561,0.1159110112,299.7809899,26.78098993,80.20578187
00716,17.99942,-66.5987,0.1186589086,299.7675532,26.76755317,80.1815957
00717,18.00272,-66.6115,0.122777537,299.7474138,26.74741376,80.14534476
00718,18.23145,-65.7607,0.1465356292,300.005415,27.00541503,80.60974706
00719,18.28879,-66.2532,0.1317927577,300.5733082,27.57330818,81.63195472
00720,18.21559,-66.4242,0.1174963325,299.2896423,26.28964233,79.3213562
00723,18.03139,-66.0112,0.1206326468,299.6746325,26.67463252,80.01433853
00725,18.22052,-66.0396,0.1190109221,299.6533386,26.65333862,79.97600952
00727,18.21142,-66.0737,0.1190109221,299.6533386,26.65333862,79.97600952
00728,18.00697,-66.66,0.1279322579,299.722208,26.72220803,80.09997445
00729,18.33524,-65.8868,0.1536864221,300.7070109,27.7070109,81.87261963
00730,18.03256,-66.6138,0.1337079907,299.6939657,26.69396566,80.04913818
00731,18.09914,-66.6328,0.1337079907,299.6939657,26.69396566,80.04913818
00735,18.2525,-65.6753,0.1640619594,300.4467812,27.44678121,81.40420617
00736,18.10736,-66.1499,0.1190109221,299.6533386,26.65333862,79.97600952
00738,18.31793,-65.6679,0.1635388101,300.6435791,27.6435791,81.75844238
00739,18.17543,-66.162,0.1190109221,299.6533386,26.65333862,79.97600952
00740,18.33251,-65.6342,0.1635388101,300.6435791,27.6435791,81.75844238
00741,18.16569,-65.7551,0.1504269321,300.0330949,27.03309492,80.65957086
00745,18.3466,-65.8138,0.1536864221,300.7070109,27.7070109,81.87261963
00751,18.01205,-66.2587,0.1170641063,299.3495442,26.34954421,79.42917958
00754,18.1447,-65.9757,0.1449843963,299.9943807,26.9943807,80.58988525
00757,17.9933,-66.3906,0.1050005666,299.3996359,26.39963592,79.51934466
00765,18.12365,-65.4301,0.1688699881,300.3622518,27.36225179,81.25205322
00766,18.13039,-66.4757,0.1174963325,299.2896423,26.28964233,79.3213562
00767,18.07033,-65.8962,0.1449843963,299.9943807,26.9943807,80.58988525
00769,18.09459,-66.3607,0.1174963325,299.2896423,26.28964233,79.3213562
00771,18.18797,-65.8692,0.1449843963,299.9943807,26.9943807,80.58988525
00772,18.43048,-65.9038,0.1536864221,300.7070109,27.7070109,81.87261963
00773,18.34073,-65.7276,0.1635388101,300.6435791,27.6435791,81.75844238
00775,18.31387,-65.2862,0.1707823212,300.3335673,27.3335673,81.20042114
00777,18.22365,-65.909,0.1449843963,299.9943807,26.9943807,80.58988525
00778,18.26319,-65.9794,0.153533248,300.6944671,27.6944671,81.85004078
00780,18.09998,-66.5703,0.1337079907,299.6939657,26.69396566,80.04913818
00782,18.22501,-66.2245,0.1190109221,299.6533386,26.65333862,79.97600952
00783,18.30348,-66.3285,0.1322921442,300.4394572,27.43945719,81.39102295
00784,18.00558,-66.1365,0.1174591281,299.5664342,26.56643418,79.81958152
00786,18.1357,-66.2288,0.1190109221,299.6533386,26.65333862,79.97600952
00791,18.14391,-65.814,0.1449843963,299.9943807,26.9943807,80.58988525
00794,18.19934,-66.3118,0.1174963325,299.2896423,26.28964233,79.3213562
00795,18.05128,-66.4949,0.1221105441,299.4047221,26.40472207,79.52849973
00802,18.34349,-64.9287,0.1042560883,300.3993693,27.3993693,81.31886475
00820,17.7388,-64.707,0.1098068231,300.4706694,27.47066942,81.44720495
00830,18.33857,-64.738,0.1125389639,300.3465826,27.34658259,81.22384866
00840,17.72649,-64.8472,0.0839311764,300.5008667,27.5008667,81.50156006
00850,17.72763,-64.7912,0.0839311764,300.5008667,27.5008667,81.50156006
00851,17.74757,-64.7874,0.08330489998,300.4920326,27.49203263,81.48565873
00901,18.46478,-66.1028,0.1309218653,300.8067342,27.80673421,82.05212158
00906,18.46446,-66.095,0.1309218653,300.8067342,27.80673421,82.05212158
00907,18.45287,-66.0838,0.1309218653,300.8067342,27.80673421,82.05212158
00909,18.44131,-66.0687,0.1309218653,300.8067342,27.80673421,82.05212158
00911,18.45133,-66.0564,0.1309218653,300.8067342,27.80673421,82.05212158
00912,18.44503,-66.06,0.1309218653,300.8067342,27.80673421,82.05212158
00913,18.45024,-66.0428,0.1309218653,300.8067342,27.80673421,82.05212158
00915,18.43673,-66.0458,0.1309218653,300.8067342,27.80673421,82.05212158
00917,18.4208,-66.0499,0.1309218653,300.8067342,27.80673421,82.05212158
00918,18.42139,-66.0677,0.1309218653,300.8067342,27.80673421,82.05212158
00920,18.41904,-66.0902,0.1309218653,300.8067342,27.80673421,82.05212158
00921,18.39206,-66.0871,0.1309218653,300.8067342,27.80673421,82.05212158
00923,18.41146,-66.0372,0.1309218653,300.8067342,27.80673421,82.05212158
00924,18.39987,-66.0134,0.1312142032,300.8054536,27.80545359,82.04981645
00925,18.40028,-66.0506,0.1309218653,300.8067342,27.80673421,82.05212158
00926,18.34691,-66.0543,0.1309218653,300.8067342,27.80673421,82.05212158
00927,18.38884,-66.0715,0.1309218653,300.8067342,27.80673421,82.05212158
00934,18.41372,-66.12,0.1309218653,300.8067342,27.80673421,82.05212158
00949,18.43166,-66.2135,0.1309218653,300.8067342,27.80673421,82.05212158
00950,18.46201,-66.2392,0.1310178895,300.7809968,27.78099677,82.00579418
00951,18.43175,-66.2563,0.1319622033,300.5278915,27.52789155,81.55020479
00952,18.42874,-66.189,0.1309218653,300.8067342,27.80673421,82.05212158
00953,18.36319,-66.2476,0.1314531081,300.6643447,27.66434474,81.79582053
00956,18.32121,-66.1719,0.1309218653,300.8067342,27.80673421,82.05212158
00957,18.36696,-66.1886,0.1309218653,300.8067342,27.80673421,82.05212158
00959,18.3852,-66.1558,0.1309218653,300.8067342,27.80673421,82.05212158
00960,18.41674,-66.1437,0.1309218653,300.8067342,27.80673421,82.05212158
00961,18.40987,-66.1642,0.1309218653,300.8067342,27.80673421,82.05212158
00962,18.43514,-66.1395,0.1309218653,300.8067342,27.80673421,82.05212158
00965,18.42853,-66.1118,0.1309218653,300.8067342,27.80673421,82.05212158
00966,18.39784,-66.1139,0.1309218653,300.8067342,27.80673421,82.05212158
00968,18.40609,-66.1012,0.1309218653,300.8067342,27.80673421,82.05212158
00969,18.36696,-66.11,0.1309218653,300.8067342,27.80673421,82.05212158
00971,18.32067,-66.1175,0.1309218653,300.8067342,27.80673421,82.05212158
00976,18.33903,-65.9929,0.1491627445,300.7268275,27.7268275,81.90828951
00979,18.43734,-66.0089,0.1340896996,300.7928571,27.79285707,82.02714273
00982,18.40961,-65.9914,0.1502993343,300.7218485,27.72184851,81.89932733
