zip,average summer precipitation (mm/hr),temp (C)
49651,0.1086217572,19.82995402
49653,0.09434712554,18.30770264
49654,0.09908462348,15.94229001
49655,0.1141831184,19.74660848
49656,0.114656809,20.23855591
49657,0.1128240138,19.87961019
49659,0.09672112763,19.00877889
49660,0.1002322542,19.95801799
49663,0.1052344133,19.91845093
49664,0.09432779575,17.76775716
49665,0.1128240138,19.87961019
49667,0.1224469694,19.70285441
49668,0.100875556,20.06606242
49670,0.09397953836,16.64878133
49674,0.09397953836,16.64878133
49675,0.09549291184,17.71671956
49676,0.09491897399,18.52017619
49677,0.1210740606,20.62746379
49679,0.1246700227,20.35573527
49680,0.09853919951,19.75512887
49682,0.09434712554,18.30770264
49683,0.0978383931,18.937677
49684,0.09434712554,18.30770264
49685,0.09655468737,19.81662191
49686,0.09434712554,18.30770264
49688,0.1141831184,19.74660848
49689,0.1089486611,20.31798096
49690,0.09491897399,18.52017619
49696,0.096947667,19.75858154
49701,0.1020530723,17.75292967
49705,0.08835557078,19.59052327
49706,0.0932209149,17.92158813
49707,0.09249922906,17.5594938
49709,0.09359199529,19.71563924
49710,0.1051353698,17.71349487
49712,0.09574110252,17.83209564
49713,0.09767804245,18.2945109
49715,0.1088480465,15.75680135
49716,0.09341505686,18.16749235
49717,0.08991925605,19.28081258
49718,0.09443742534,17.6806661
49719,0.09966752416,17.90144157
49720,0.09031574289,16.92000932
49721,0.08839773697,18.41761882
49722,0.0932209149,17.92158813
49724,0.1038282499,17.1032959
49725,0.09743011808,17.80611119
49726,0.09872337844,17.11461285
49727,0.09559514026,17.79724935
49728,0.1080457261,17.12740611
49729,0.09296621382,17.05815633
49730,0.09767804245,18.2945109
49733,0.1071591683,19.31074422
49735,0.1035127159,19.30701505
49736,0.09958644211,18.28690389
49738,0.1136805055,19.37473551
49740,0.09291363011,17.24895924
49743,0.09131985729,18.13013509
49744,0.09577425182,18.56650265
49745,0.1007653793,17.68035075
49746,0.09643220181,19.48961385
49747,0.09955668946,19.61846924
49748,0.104827591,17.65644938
49749,0.08991925605,19.28081258
49751,0.1027237469,19.3727167
49752,0.1038282499,17.1032959
49753,0.09643220181,19.48961385
49755,0.09443742534,17.6806661
49756,0.1062089416,19.29751383
49757,0.1109607682,17.27230835
49759,0.08956869543,18.67149048
49760,0.1017013123,18.05486857
49762,0.1002603696,18.26688521
49764,0.0932209149,17.92158813
49765,0.08883998799,19.22354095
49766,0.09985120669,18.55947876
49768,0.1058056071,13.34214274
49769,0.09443742534,17.6806661
49770,0.0932209149,17.92158813
49774,0.1000527178,18.11667887
49775,0.09800838505,16.97435303
49776,0.09343785333,17.44169864
49777,0.09210967627,16.04658935
49779,0.09131985729,18.13013509
49780,0.1007653793,17.68035075
49781,0.09954629416,17.0151591
49782,0.09319079493,16.32486369
49783,0.1038282499,17.1032959
49784,0.1031548986,17.28402876
49788,0.1038211444,17.10520307
49791,0.08991925605,19.28081258
49793,0.09982333407,18.24792277
49795,0.09570631559,19.29903158
49796,0.0932209149,17.92158813
49799,0.08991925605,19.28081258
49801,0.129803288,18.80699259
49802,0.129803288,18.80699259
49805,0.1127500939,12.67897339
49806,0.1119189203,15.03039347
49807,0.1124359272,19.02428385
49808,0.1166438289,15.8593689
49812,0.1152081856,19.11416836
49814,0.119121561,17.86436971
49815,0.1318767647,18.12791748
49816,0.1119189203,15.03039347
49817,0.107916392,18.67606648
49818,0.1146488567,18.57735596
49820,0.1055889348,18.27742106
49821,0.1169634648,19.17107951
49822,0.1173739597,16.78609416
49825,0.1119189203,15.03039347
49826,0.1173739597,16.78609416
49827,0.1055889348,18.27742106
49829,0.1130420685,18.50170288
49831,0.1280238872,18.21021525
49833,0.1194970479,17.70920003
49834,0.1236764242,18.7536967
49835,0.1078114228,18.07549836
49836,0.1029034384,18.39360962
49837,0.1130420685,18.50170288
49838,0.1041984702,18.3375798
49839,0.1019016378,12.86560465
49840,0.1043778109,18.6805603
49841,0.1219607391,17.84935945
49847,0.1169634648,19.17107951
49848,0.1170601937,19.628302
49849,0.1286326925,17.87680257
49852,0.1282233735,18.85371501
49853,0.1091033022,17.91773847
49854,0.110242982,17.96397502
49855,0.1170199839,14.62156372
49858,0.1267987172,20.11206868
49861,0.1244570017,18.3888855
49862,0.1103096532,14.75187378
49863,0.1169634648,19.17107951
49864,0.1116733402,18.63926799
49866,0.1172000932,16.06332194
49868,0.108141709,16.87061927
49870,0.1282233735,18.85371501
49871,0.1250124191,18.02296956
49872,0.1197440356,18.29544271
49873,0.1236764242,18.7536967
49874,0.1158246886,19.13415714
49876,0.1282233735,18.85371501
49877,0.1287110327,18.19553777
49878,0.1122473819,18.4994222
49879,0.1315338189,17.87831624
49880,0.1197440356,18.29544271
49881,0.1337386419,18.12911987
49883,0.1036906992,17.63777262
49884,0.1055728751,15.57109578
49885,0.1173739597,16.78609416
49886,0.1135747034,19.06120622
49887,0.1170601937,19.628302
49891,0.1197440356,18.29544271
49892,0.1282233735,18.85371501
49893,0.1170601937,19.628302
49894,0.1130420685,18.50170288
49895,0.1149880769,17.71977743
49896,0.1124359272,19.02428385
49901,0.1127500939,12.67897339
49902,0.1351970499,18.21390381
49903,0.1322034533,18.02762451
49905,0.120150466,15.27998657
49908,0.127351211,18.43559445
49910,0.1432732731,16.94550578
49911,0.1512258309,18.57016373
49912,0.1457496163,18.70927274
49913,0.1251569003,16.23949246
49915,0.1405218124,18.27276815
49916,0.1247112294,18.20320841
