zip,lat,lng,sumprecipitation,average summer temp
00601,18.18027,-66.7527,0.1497665867,
00602,18.36075,-67.1754,0.2020579437,
00603,18.45744,-67.1223,0.2020579437,
00606,18.16585,-66.9372,0.1599342242,
00610,18.2911,-67.1224,0.2020579437,
00611,18.27698,-66.8069,0.1911606411,
00612,18.41283,-66.7051,0.1542145496,
00616,18.41878,-66.6679,0.1542145496,
00617,18.44598,-66.5601,0.1542145496,
00622,17.98892,-67.1566,0.1407917595,
00623,18.08429,-67.1534,0.1675652131,
00624,18.05905,-66.7193,0.1337079907,
00627,18.41905,-66.8604,0.1911606411,
00631,18.1852,-66.8317,0.1599342242,
00636,18.16354,-67.0801,0.1675652131,
00637,18.081,-66.9466,0.1599342242,
00638,18.28462,-66.5137,0.1541077649,
00641,18.26742,-66.7021,0.1542145496,
00646,18.43251,-66.2843,0.1322921442,
00647,17.96667,-66.9427,0.1173272407,
00650,18.34487,-66.5835,0.1542145496,
00652,18.45614,-66.6019,0.1542145496,
00653,17.99413,-66.9027,0.1280438428,
00656,18.04186,-66.7912,0.1599342242,
00659,18.41036,-66.7969,0.1911606411,
00660,18.13412,-67.114,0.1675652131,
00662,18.46622,-67.0151,0.2020579437,
00664,18.21064,-66.5907,0.1337079907,
00667,18.01246,-67.0417,0.166746073,
00669,18.27019,-66.8673,0.1911606411,
00670,18.23782,-66.9885,0.1613777346,
00674,18.42229,-66.4891,0.1338283872,
00676,18.37897,-67.081,0.2020579437,
00677,18.33535,-67.2316,0.2020579437,
00678,18.42949,-66.9302,0.1911606411,
00680,18.16307,-67.3612,0.1518274496,
00682,18.22415,-67.1531,0.1675652131,
00683,18.10926,-67.038,0.1675652131,
00685,18.33656,-66.9752,0.1911606411,
00687,18.31707,-66.4203,0.1322921442,
00688,18.3807,-66.625,0.1542145496,
00690,18.49363,-67.0973,0.1938158267,
00692,18.40905,-66.3377,0.1322921442,
00693,18.42633,-66.3981,0.1322921442,
00694,18.48327,-66.3927,0.1322921442,
00698,18.07274,-66.8552,0.1599342242,
00703,18.24739,-66.1314,0.1236286707,
00704,17.97442,-66.2289,0.113098921,
00705,18.1294,-66.2665,0.1174963325,
00707,18.01752,-65.9213,0.1449843963,
